,Decision Tree,Naive Bayes,Random Forest,XGBoost,Logistic Regression,MLP,Voting
0,0.5671641791044776,0.5223880597014925,0.5671641791044776,0.582089552238806,0.582089552238806,0.43283582089552236,0.5671641791044776
1,0.5373134328358209,0.582089552238806,0.5671641791044776,0.4626865671641791,0.5373134328358209,0.47761194029850745,0.5074626865671642
2,0.582089552238806,0.582089552238806,0.5671641791044776,0.5074626865671642,0.5223880597014925,0.5074626865671642,0.6119402985074627
3,0.5522388059701493,0.7313432835820896,0.5373134328358209,0.5671641791044776,0.5671641791044776,0.5671641791044776,0.5970149253731343
4,0.5522388059701493,0.7761194029850746,0.7761194029850746,0.6865671641791045,0.6268656716417911,0.4626865671641791,0.7761194029850746
5,0.5970149253731343,0.5671641791044776,0.5671641791044776,0.6417910447761194,0.6417910447761194,0.43283582089552236,0.5671641791044776
6,0.5671641791044776,0.6119402985074627,0.6119402985074627,0.6119402985074627,0.7014925373134329,0.6567164179104478,0.5970149253731343
7,0.6417910447761194,0.6417910447761194,0.6119402985074627,0.6119402985074627,0.6716417910447762,0.7164179104477612,0.6567164179104478
8,0.582089552238806,0.5970149253731343,0.6268656716417911,0.6865671641791045,0.6268656716417911,0.5970149253731343,0.5970149253731343
9,0.5151515151515151,0.6212121212121212,0.5606060606060606,0.5454545454545454,0.5,0.6363636363636364,0.6060606060606061
10,0.5522388059701493,0.5970149253731343,0.6417910447761194,0.5671641791044776,0.5522388059701493,0.5970149253731343,0.582089552238806
11,0.5671641791044776,0.5970149253731343,0.6119402985074627,0.5522388059701493,0.6268656716417911,0.5373134328358209,0.582089552238806
