,Naive Bayes,Decision Tree,Random Forest,Voting,XGBoost,Logistic Regression,MLP
0,0.5223880597014925,0.5074626865671642,0.5373134328358209,0.5373134328358209,0.5671641791044776,0.582089552238806,0.582089552238806
1,0.6268656716417911,0.5671641791044776,0.6865671641791045,0.6268656716417911,0.6119402985074627,0.5671641791044776,0.5223880597014925
2,0.5522388059701493,0.6119402985074627,0.6119402985074627,0.6119402985074627,0.6417910447761194,0.6268656716417911,0.5074626865671642
3,0.746268656716418,0.582089552238806,0.6268656716417911,0.7164179104477612,0.6268656716417911,0.7014925373134329,0.746268656716418
4,0.7761194029850746,0.7014925373134329,0.7164179104477612,0.7313432835820896,0.7313432835820896,0.6268656716417911,0.6567164179104478
5,0.6716417910447762,0.6417910447761194,0.7014925373134329,0.6716417910447762,0.6865671641791045,0.7313432835820896,0.6567164179104478
6,0.7014925373134329,0.7313432835820896,0.7164179104477612,0.7313432835820896,0.7014925373134329,0.6716417910447762,0.6865671641791045
7,0.7313432835820896,0.5522388059701493,0.7164179104477612,0.746268656716418,0.6567164179104478,0.5970149253731343,0.7611940298507462
8,0.6865671641791045,0.6268656716417911,0.7164179104477612,0.7164179104477612,0.8208955223880597,0.6417910447761194,0.6567164179104478
9,0.6515151515151515,0.5454545454545454,0.6818181818181818,0.6818181818181818,0.7121212121212122,0.5303030303030303,0.7424242424242424
10,0.6567164179104478,0.582089552238806,0.6417910447761194,0.6417910447761194,0.6716417910447762,0.5522388059701493,0.6417910447761194
11,0.7313432835820896,0.4626865671641791,0.6417910447761194,0.6567164179104478,0.6567164179104478,0.582089552238806,0.6716417910447762
