,Naive Bayes,Decision Tree,Logistic Regression,Random Forest,XGBoost,Voting,MLP
0,0.44776119402985076,0.44776119402985076,0.5522388059701493,0.43283582089552236,0.5522388059701493,0.43283582089552236,0.43283582089552236
1,0.4626865671641791,0.5970149253731343,0.5671641791044776,0.5671641791044776,0.6119402985074627,0.5522388059701493,0.47761194029850745
2,0.582089552238806,0.4626865671641791,0.5373134328358209,0.5223880597014925,0.5223880597014925,0.5223880597014925,0.5074626865671642
3,0.5223880597014925,0.40298507462686567,0.5074626865671642,0.4626865671641791,0.5522388059701493,0.4626865671641791,0.5671641791044776
4,0.5074626865671642,0.5223880597014925,0.4925373134328358,0.5671641791044776,0.4925373134328358,0.5074626865671642,0.4626865671641791
5,0.6567164179104478,0.4925373134328358,0.4925373134328358,0.5671641791044776,0.5671641791044776,0.6119402985074627,0.43283582089552236
6,0.47761194029850745,0.4925373134328358,0.4925373134328358,0.5522388059701493,0.5522388059701493,0.5373134328358209,0.5223880597014925
7,0.582089552238806,0.417910447761194,0.5373134328358209,0.6268656716417911,0.582089552238806,0.5970149253731343,0.5373134328358209
8,0.417910447761194,0.746268656716418,0.4925373134328358,0.5223880597014925,0.5671641791044776,0.5671641791044776,0.5223880597014925
9,0.4696969696969697,0.4090909090909091,0.5757575757575758,0.5303030303030303,0.48484848484848486,0.4696969696969697,0.5151515151515151
10,0.5223880597014925,0.5074626865671642,0.582089552238806,0.5373134328358209,0.4626865671641791,0.5074626865671642,0.5373134328358209
11,0.5522388059701493,0.4925373134328358,0.5671641791044776,0.6268656716417911,0.5373134328358209,0.5373134328358209,0.47761194029850745
